,question,context,answers,lang,source_lang,score,pred_answer
0,Minä vuonna Stephen King on kirjoittanut The Shining romaanin?,"Hohto (""The Shining"") on amerikkalaisen kirjailijan Stephen Kingin vuonna 1977 julkaistu kauhuromaani. Se oli Kingin kolmas romaani ja varmisti hänen asemansa kauhugenren johtavana kirjailijana. Kirjan jatko-osa ""Tohtori Uni"" julkaistiin Yhdysvalloissa syyskuussa 2013 ja suomennos julkaistiin tammikuussa 2014. Jack Torrance on entinen opettaja, alkoholisti ja kirjailija. Hän pääsee talonmieheksi vuoristossa sijaitsevaan Overlook-hotelliin talven ajaksi. Hotelli sijaitsee korkealla Kalliovuorilla, Coloradossa. Sijaintinsa vuoksi se on auki ainoastaan huhtikuun alusta syyskuun loppuun. Jackin tehtäviin kuuluu pitää lämmitystä päällä vuorotellen eri osissa hotellia ja huolehtia mahdollisten vahinkojen korjaamisesta. Hänen mukaansa hotelliin tulevat myös hänen vaimonsa Wendy ja viisivuotias poikansa Danny. Jackille kerrotaan työhaastattelussa, että aiemmin",['1977'],fi,fi,41.72471,1977
1,What year has Stephen King written The Shining novel?,"The Shining is a horror novel by American author Stephen King. Published in 1977, it is King's third published novel and first hardback bestseller: the success of the book firmly established King as a preeminent author in the horror genre. The setting and characters are influenced by King's personal experiences, including both his visit to The Stanley Hotel in 1974 and his recovery from alcoholism. The novel was followed by a sequel, ""Doctor Sleep"", published in 2013. ""The Shining"" centers on the life of Jack Torrance, an aspiring writer and recovering alcoholic who accepts a position as the off-season caretaker",['1977'],en,fi,41.38501,1977
2,Tahun berapa Stephen King menulis novel The Shining?,The Shining merupakan sebuah filem seram dari Amerika Syarikat tahun 1980 arahan Stanley Kubrick. Ia adaptasi novel berjudul sama tahun 1977 karya Stephen King.,['1977'],id,fi,40.98852,1977
3,Minä vuonna Stephen King on kirjoittanut The Shining romaanin?,"kauan ennen ""Carrien"" ilmestymistä. Ensimmäinen sarjan romaani nimeltään ""Revolverimies"" julkaistiin vuonna 1982. King halusi tehdä ""Mustasta tornista"" oman jättiteoksensa, esikuvanaan Tolkienin ""Taru sormusten herrasta"". Toisena esikuvana olivat Sergio Leonen spagettiwestern-elokuvat. King sai sarjan päätökseen vuonna 2004, mutta kirjoitti vielä itsenäisen kahdeksannen kirjan vuonna 2012. Ennen ""Carrien"" julkaisua King oli aloittanut myös ""Second Coming"" -nimisen kirjan kirjoittamisen. Myöhemmin hän nimesi kirjan ""Jerusalem's Lotiksi"" ja lopulta ""Salem's Lotiksi"" (kirja on suomennettu nimellä ""Painajainen""). Kirja julkaistiin 1975. Pian äitinsä kuoleman jälkeen King perheineen muutti Boulderiin Coloradoon. Äidin kuolema vaivasi Kingiä hänen aloittaessa kolmatta kirjaansa ""Hohtoa"", joka julkaistiin 1977 ja jonka myötä hän vakiinnutti",['1977'],fi,fi,39.651955,1982
4,Vilket år har Stephen King skrivit The Shining roman?,"The Shining är en brittisk-amerikansk psykologisk skräckfilm från 1980 i regi av Stanley Kubrick, baserad på romanen ""Varsel"" från 1977 av Stephen King, fast det förekommer stora skillnader mellan boken och filmen. Filmen hade biopremiär i USA den 23 maj 1980. Jack Torrance (Jack Nicholson), en nykter alkoholist och en misslyckad författare, tar jobb som vaktmästare på ett avlägset hotell i Klippiga bergen över vintermånaderna medan hotellet hålls stängt. Han hoppas att avskildheten som hotellet erbjuder, då det årligen snöas in, skall ge honom den ro han behöver för att kunna skriva sin projekterade bok. Med till hotellet tar han",['1977 Ordförande'],sv,fi,38.8058,1977
5,Vilket år har Stephen King skrivit The Shining roman?,"Varsel ""(eng. The Shining)"" är en skräckroman av Stephen King utkommen i USA 1977 (i Sverige 1980). Jack Torrance är en alkoholiserad lärare. Efter att ha blivit avskedad från sitt jobb i New England Preparatory School där han skadat en elev, bestämmer han sig för att bli författare. Han får skrivblockering och flyttar med sin fru Wendy och sin son Danny till Overlook Hotel i Klippiga Bergen för att få skrivro. Jack tar jobb på hotellet som vaktmästare under lågsäsongen, och hotellet är helt tomt på folk förutom han och hans familj. Hotellet har en förbannelse över sig och under",['1977 Ordförande'],sv,fi,38.51085,1977
6,Tahun berapa Stephen King menulis novel The Shining?,"diterbitkan dalam empat cerita bersambung di ""Comics Review"" pada tahun 1965. Setelah lulus dari universitinya, King tidak langsung mendapat pekerjaan. Beliau kemudian mula menjual cerpen karangannya ke pelbagai majalah bacaan untuk diterbitkan di sana. Pada tahun 1973, novel pertama King, ""Carrie"", diterima oleh penerbit Doubleday; wang muka yang diterimanya untuk penerbitan novel ini adalah sebesar $2,500. Setelah terbitnya karya ""Carrie"", King mulai menulis suatu cerita yang diterbitkan dengan judul ""Salem's Lot"" pada tahun 1975. Setelah kematian ibunya pada 1974, King dan keluarganya pindah ke Boulder, Colorado, dan di sanalah beliau mula menulis ""The Shining"" (diterbitkan tahun 1977). Ia kembali ke",['1977'],id,fi,37.275124,1977
7,Minä vuonna Stephen King on kirjoittanut The Shining romaanin?,"Stephen Edwin King (s. 21. syyskuuta 1947 Portland, Maine) on tuottelias yhdysvaltalainen kauhukirjailija. Kingin kirjat ovat suosittuja, ja monet niistä ovat yltäneet miljoonamyyntiin. Kingin esikoisromaani ""Carrie"" ilmestyi vuonna 1974 ja hän teki lopullisen läpimurtonsa romaanilla ""Hohto"" (1977). Vuonna 2017 niitä oli myyty arviolta 350 000 000 kappaletta. Tyypillistä Kingin kirjoille on, että niissä tavalliset ihmiset – keskiluokkaiset perheet, lapset, kirjailijat – joutuvat vähitellen yhä kaameampiin tilanteisiin. Romaanien lisäksi King on kirjoittanut novelleja, pienoisromaaneja, käsikirjoituksia, esseitä ja sarjakuvia. Kingin vanhemmat erosivat Stephenin ollessa kaksivuotias, jolloin hänen isänsä Donald King lähti omille teilleen eikä Stephen kuullut hänestä sen koommin. Äiti Nellie Ruth",['1977'],fi,fi,36.40561,1974
8,¿Qué año ha escrito Stephen King La novela brillante?,"El resplandor (título original ""The Shining"") es la tercera novela de terror del escritor estadounidense Stephen King, publicada en 1977. El título se inspiró en la canción de John Lennon """"Instant Karma!"""", que contiene la línea «""We all shine on...""» King quiso en un principio ponerle el título ""The Shine"", pero lo cambió cuando se dio cuenta de que """"shine"""" era un título muy despectivo para las personas de color. Fue su primer bestseller en tapa dura, lo que lo posicionó como un preeminente escritor del género de horror. Stephen King se basó en el cuento ""La máscara de la",['1977'],es,fi,36.224117,1977
9,Tahun berapa Stephen King menulis novel The Shining?,"Maine pada 1975 dan menyelesaikan novel keempatnya, ""The Stand"" (diterbitkan tahun 1978). Pada akhir 1970-an, King menerbitkan sejumlah novel pendek berjudul ""Rage"" (1977), ""The Long Walk"" (1979), ""Roadwork"" (1981) ""The Running Man"" (1982), dan ""Thinner"" (1984) dengan nama pena Richard Bachman agar menguji kesanggupan penerbit menerbit karya berdasarkan mutu penceritaan itu sendiri berbanding nama si pengkarya semata-mata. Hingga tahun 2013, King telah menerbitkan lima puluh novel, dua ratus cerita pendek, dan lima karya nonfiksi, yang telah terjual lebih dari 350 juta cetakan di seluruh dunia, Karya-karyanya juga telah diadaptasi menjadi sejumlah film, buku komik, dan teater.",['1977'],id,fi,35.72104,1975
